FID,FID_1,STATION,BASIN,LONGITUDE,LATITUDE,STATION_ID,SITE,STATION__1,CRMS_SITE,PROJ_ID,BASIN_1,FLD_OFFICE,PROJ_TYPE,STATUS,DATA_TYPE,FREQUENCY,SENSOR_ENV,METHOD,Measures,FID_2,OBJECTID,TNMID,METASOURCE,SOURCEDATA,SOURCEORIG,SOURCEFEAT,LOADDATE,GNIS_ID,AREAACRES,AREASQKM,STATES,HUC8,NAME,Shape_Leng,Shape_Area,LWI_Region,Long,Lat
0,0, ,Atchafalaya,-91° 16' 45.246"",29° 25' 14.102"", , , , , , , , , , , , , , ,0,1081,{76667D32-EA28-43B7-968F-7273107E9329}, , , , ,6/6/2016 0:00:00,0,1276035.659999999916181,5163.939999999999600,LA,08080101,Atchafalaya,5.483594523250000,0.483663771029000,5,-91.279235005199993,29.420583802800000
1,1,02,Atchafalaya,-91° 16' 44.580"",29° 25' 8.051"",AT02-02,AT02,AT02-02,9999,"AT-0002,AT-0004,AT-0015,TV-0054",Atchafalaya,Thibodaux,CWPPRA,Inactive,Vegetation,Variable, ,DGPS,Herbaceous Marsh Vegetation,0,1081,{76667D32-EA28-43B7-968F-7273107E9329}, , , , ,6/6/2016 0:00:00,0,1276035.659999999916181,5163.939999999999600,LA,08080101,Atchafalaya,5.483594523250000,0.483663771029000,5,-91.279050121200001,29.418903083800000
2,2,03,Atchafalaya,-91° 16' 44.080"",29° 25' 2.084"",AT02-03,AT02,AT02-03,9999,"AT-0002,AT-0004,AT-0015,TV-0054",Atchafalaya,Thibodaux,CWPPRA,Inactive,Vegetation,Variable, ,DGPS,Herbaceous Marsh Vegetation,0,1081,{76667D32-EA28-43B7-968F-7273107E9329}, , , , ,6/6/2016 0:00:00,0,1276035.659999999916181,5163.939999999999600,LA,08080101,Atchafalaya,5.483594523250000,0.483663771029000,5,-91.278911229299993,29.417245516900000
3,3,04,Atchafalaya,-91° 16' 40.644"",29° 24' 55.884"",AT02-04,AT02,AT02-04,9999,"AT-0002,AT-0004,AT-0015,TV-0054",Atchafalaya,Thibodaux,CWPPRA,Inactive,Vegetation,Variable, ,DGPS,Herbaceous Marsh Vegetation,0,1081,{76667D32-EA28-43B7-968F-7273107E9329}, , , , ,6/6/2016 0:00:00,0,1276035.659999999916181,5163.939999999999600,LA,08080101,Atchafalaya,5.483594523250000,0.483663771029000,5,-91.277956678899997,29.415523267400001
4,4,05,Atchafalaya,-91° 16' 37.543"",29° 24' 51.401"",AT02-05,AT02,AT02-05,9999,"AT-0002,AT-0004,AT-0015,TV-0054",Atchafalaya,Thibodaux,CWPPRA,Inactive,Vegetation,Variable, ,DGPS,Herbaceous Marsh Vegetation,0,1081,{76667D32-EA28-43B7-968F-7273107E9329}, , , , ,6/6/2016 0:00:00,0,1276035.659999999916181,5163.939999999999600,LA,08080101,Atchafalaya,5.483594523250000,0.483663771029000,5,-91.277095234399994,29.414278194100000
5,5,06,Atchafalaya,-91° 16' 38.393"",29° 25' 6.428"",AT02-06,AT02,AT02-06,9999,"AT-0002,AT-0004,AT-0015,TV-0054",Atchafalaya,Thibodaux,CWPPRA,Inactive,Vegetation,Variable, ,DGPS,Herbaceous Marsh Vegetation,0,1081,{76667D32-EA28-43B7-968F-7273107E9329}, , , , ,6/6/2016 0:00:00,0,1276035.659999999916181,5163.939999999999600,LA,08080101,Atchafalaya,5.483594523250000,0.483663771029000,5,-91.277331412699994,29.418452259999999
6,6,07,Atchafalaya,-91° 16' 46.818"",29° 25' 3.955"",AT02-07,AT02,AT02-07,9999,"AT-0002,AT-0004,AT-0015,TV-0054",Atchafalaya,Thibodaux,CWPPRA,Inactive,Vegetation,Variable, ,DGPS,Herbaceous Marsh Vegetation,0,1081,{76667D32-EA28-43B7-968F-7273107E9329}, , , , ,6/6/2016 0:00:00,0,1276035.659999999916181,5163.939999999999600,LA,08080101,Atchafalaya,5.483594523250000,0.483663771029000,5,-91.279671573599998,29.417765154900000
7,7,08,Atchafalaya,-91° 16' 45.294"",29° 26' 18.103"",AT02-08,AT02,AT02-08,9999,"AT-0002,AT-0004,AT-0015,TV-0054",Atchafalaya,Thibodaux,CWPPRA,Inactive,Vegetation,Variable, ,DGPS,Herbaceous Marsh Vegetation,0,1081,{76667D32-EA28-43B7-968F-7273107E9329}, , , , ,6/6/2016 0:00:00,0,1276035.659999999916181,5163.939999999999600,LA,08080101,Atchafalaya,5.483594523250000,0.483663771029000,5,-91.279248316700006,29.438362070499998
8,8,09,Atchafalaya,-91° 16' 54.305"",29° 26' 25.521"",AT02-09,AT02,AT02-09,9999,"AT-0002,AT-0004,AT-0015,TV-0054",Atchafalaya,Thibodaux,CWPPRA,Inactive,Vegetation,Variable, ,DGPS,Herbaceous Marsh Vegetation,0,1081,{76667D32-EA28-43B7-968F-7273107E9329}, , , , ,6/6/2016 0:00:00,0,1276035.659999999916181,5163.939999999999600,LA,08080101,Atchafalaya,5.483594523250000,0.483663771029000,5,-91.281751395900002,29.440422376499999
9,9,10,Atchafalaya,-91° 16' 55.495"",29° 26' 35.314"",AT02-10,AT02,AT02-10,9999,"AT-0002,AT-0004,AT-0015,TV-0054",Atchafalaya,Thibodaux,CWPPRA,Inactive,Vegetation,Variable, ,DGPS,Herbaceous Marsh Vegetation,0,1081,{76667D32-EA28-43B7-968F-7273107E9329}, , , , ,6/6/2016 0:00:00,0,1276035.659999999916181,5163.939999999999600,LA,08080101,Atchafalaya,5.483594523250000,0.483663771029000,5,-91.282081842200000,29.443142642400002
