Station,Lat,Long,Maxlevel,Maxdate,Minlevel,Mindate,Raw,Proc,Plot,Basin,Basin1
TV04-04R,29.7279861864,-91.60816825280001,4.539000000000001,2005-09-23 20:00:00,-2.331,2000-10-08 08:00:00,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/tree/main/temp/Station ID=CRMS0565-H01,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/TV04-04R/TV04-04R_Processed.csv,https://htmlpreview.github.io/?https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/TV04-04R/TV04-04R.html,Teche/Vermilion,Teche/Vermilion
CRMS0527-H03,29.709010702399997,-91.8598185515,8.68,2020-08-26 22:00:00,-0.6,2019-12-17 02:00:00,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/tree/main/temp/Station ID=CRMS0565-H01,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/CRMS0527-H03/CRMS0527-H03_Processed.csv,https://htmlpreview.github.io/?https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/CRMS0527-H03/CRMS0527-H03.html,Teche/Vermilion,Teche/Vermilion
ME04-26R,29.6705895641,-92.2674394625,5.999,2005-09-23 21:00:00,-1.761,1998-04-10 08:00:00,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/tree/main/temp/Station ID=CRMS0565-H01,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/ME04-26R/ME04-26R_Processed.csv,https://htmlpreview.github.io/?https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/ME04-26R/ME04-26R.html,Mermentau,Mermentau
AT04-04,29.3834712566,-91.37636100700001,5.563,2003-05-07 01:00:00,-1.917,2002-05-13 16:00:00,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/tree/main/temp/Station ID=CRMS0565-H01,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/AT04-04/AT04-04_Processed.csv,https://htmlpreview.github.io/?https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/AT04-04/AT04-04.html,Atchafalaya,Atchafalaya
CRMS0589-H01,29.656961916799997,-92.81659007799999,9.5,2020-08-26 17:00:00,-0.37,2020-04-11 04:00:00,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/tree/main/temp/Station ID=CRMS0565-H01,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/CRMS0589-H01/CRMS0589-H01_Processed.csv,https://htmlpreview.github.io/?https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/CRMS0589-H01/CRMS0589-H01.html,Mermentau,Mermentau
ME11-72,29.8386965091,-92.9003864318,3.26,2002-11-05 02:00:00,-0.19,2002-12-06 04:00:00,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/tree/main/temp/Station ID=CRMS0565-H01,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/ME11-72/ME11-72_Processed.csv,https://htmlpreview.github.io/?https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/ME11-72/ME11-72.html,Mermentau,Mermentau
CRMS6038-H01,29.6047811456,-91.35256576799999,7.91,2019-07-13 09:00:00,-0.86,2014-11-27 07:00:00,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/tree/main/temp/Station ID=CRMS0565-H01,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/CRMS6038-H01/CRMS6038-H01_Processed.csv,https://htmlpreview.github.io/?https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/CRMS6038-H01/CRMS6038-H01.html,Atchafalaya,Atchafalaya
CRMS0536-H01,29.5821025174,-92.25980846719999,7.02,2020-10-09 13:00:00,0.36,2018-03-27 15:00:00,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/tree/main/temp/Station ID=CRMS0565-H01,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/CRMS0536-H01/CRMS0536-H01_Processed.csv,https://htmlpreview.github.io/?https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/CRMS0536-H01/CRMS0536-H01.html,Teche/Vermilion,Teche/Vermilion
CRMS0633-H01,29.5639000254,-92.32312107930001,5.937,2008-09-12 12:00:00,-0.963,2011-01-13 09:00:00,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/tree/main/temp/Station ID=CRMS0565-H01,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/CRMS0633-H01/CRMS0633-H01_Processed.csv,https://htmlpreview.github.io/?https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/CRMS0633-H01/CRMS0633-H01.html,Mermentau,Mermentau
ME16-03,29.6217059157,-92.59132115889999,3.016,2003-11-29 03:00:00,0.236,2002-04-03 23:00:00,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/tree/main/temp/Station ID=CRMS0565-H01,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/ME16-03/ME16-03_Processed.csv,https://htmlpreview.github.io/?https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/ME16-03/ME16-03.html,Mermentau,Mermentau
