Station,Lat,Long,Maxlevel,Maxdate,Minlevel,Mindate,Raw,Proc,Plot,Basin,Basin1
AT04-01,29.5021954855,-91.2709720422,2.7859999999999996,2003-05-17 15:30:00,-0.254,2003-04-10 11:00:00,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/tree/main/temp/_SUCCESS,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/AT04-01/AT04-01_Processed.csv,https://htmlpreview.github.io/?https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/AT04-01/AT04-01.html,Atchafalaya,Atchafalaya
AT04-02,29.448555516,-91.2849719999,4.867999999999999,2003-07-14 16:30:00,-0.482,2003-04-10 08:00:00,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/tree/main/temp/_SUCCESS,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/AT04-02/AT04-02_Processed.csv,https://htmlpreview.github.io/?https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/AT04-02/AT04-02.html,Atchafalaya,Atchafalaya
AT04-03,29.4106110311,-91.2681108001,4.843,2002-10-03 16:30:00,-2.287,2003-04-15 17:00:00,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/tree/main/temp/_SUCCESS,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/AT04-03/AT04-03_Processed.csv,https://htmlpreview.github.io/?https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/AT04-03/AT04-03.html,Atchafalaya,Atchafalaya
AT04-04,29.3834712566,-91.376361007,5.563,2003-05-07 13:00:00,-1.917,2002-05-14 04:00:00,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/tree/main/temp/_SUCCESS,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/AT04-04/AT04-04_Processed.csv,https://htmlpreview.github.io/?https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/AT04-04/AT04-04.html,Atchafalaya,Atchafalaya
AT04-06,29.4648615075,-91.327583387,25.695,2002-10-03 18:00:00,-1.095,2002-12-06 19:30:00,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/tree/main/temp/_SUCCESS,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/AT04-06/AT04-06_Processed.csv,https://htmlpreview.github.io/?https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/AT04-06/AT04-06.html,Atchafalaya,Atchafalaya
CRMS0461-H01,29.5846948627,-91.3260748976,8.47,2019-07-13 19:00:00,-1.12,2015-08-26 03:00:00,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/tree/main/temp/_SUCCESS,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/CRMS0461-H01/CRMS0461-H01_Processed.csv,https://htmlpreview.github.io/?https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/CRMS0461-H01/CRMS0461-H01.html,Atchafalaya,Atchafalaya
CRMS0463-H01,29.4907216648,-91.3233213869,8.1,2019-07-13 19:00:00,-0.97,2014-02-20 06:00:00,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/tree/main/temp/_SUCCESS,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/CRMS0463-H01/CRMS0463-H01_Processed.csv,https://htmlpreview.github.io/?https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/CRMS0463-H01/CRMS0463-H01.html,Atchafalaya,Atchafalaya
CRMS0464-H01,29.5175702776,-91.3871363238,6.206,2008-09-13 20:00:00,-1.58,2019-07-15 21:00:00,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/tree/main/temp/_SUCCESS,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/CRMS0464-H01/CRMS0464-H01_Processed.csv,https://htmlpreview.github.io/?https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/CRMS0464-H01/CRMS0464-H01.html,Atchafalaya,Atchafalaya
CRMS0465-H01,29.5370517932,-91.3844464594,4.47,2017-06-22 18:00:00,-1.76,2013-11-13 12:00:00,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/tree/main/temp/_SUCCESS,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/CRMS0465-H01/CRMS0465-H01_Processed.csv,https://htmlpreview.github.io/?https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/CRMS0465-H01/CRMS0465-H01.html,Atchafalaya,Atchafalaya
CRMS0479-H01,29.5235426765,-91.4491828129,7.491999999999999,2008-09-12 18:00:00,-1.3679999999999999,2012-08-29 05:00:00,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/tree/main/temp/_SUCCESS,https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/CRMS0479-H01/CRMS0479-H01_Processed.csv,https://htmlpreview.github.io/?https://github.com/sinaamini11/Louisiana_Region5_Water_Levels/blob/main/Output/CRMS0479-H01/CRMS0479-H01.html,Atchafalaya,Atchafalaya
