Date (mm/dd/yyyy),Time (hh:mm:ss),Time Zone,Sensor Environment,Raw Water Temperature (°C),Adjusted Water Temperature (°C),Raw Specific Conductance (uS/cm),Adjusted Specific Conductance (uS/cm),Raw Salinity (ppt),Adjusted Salinity (ppt),Raw Water Level (ft),Adjusted Water Level (ft),Raw Water Elevation to Marsh (ft),Adjusted Water Elevation to Marsh (ft),Raw Water Elevation to Datum (ft),Adjusted Water Elevation to Datum (ft),Raw Marsh Mat Elevation (ft),Adjusted Marsh Mat Elevation to Datum (ft),Geoid,Raw Battery (V),Adjusted Battery (V),Raw Wind Speed (mph),Adjusted Wind Speed (mph),Raw Wind Direction (degrees),Adjusted Wind Direction (degrees),Raw Velocity (ft/sec),Adjusted Velocity (ft/sec),Raw Precipitation (tips/hour),Adjusted Precipitation (inches),Raw Air Pressure (mm of Hg),Adjusted Air Pressure (mm of Hg),Raw Total Chlorophyll (micrograms/L),Adjusted Total Chlorophyll (micrograms/L),Raw Dissolved Oxygen (milligrams/L),Adjusted Dissolved Oxygen (milligrams/L),Raw pH (pH units),Adjusted pH (pH units),Raw Turbidity (FNU),Adjusted Turbidity (FNU),Raw Discharge (cubic ft/sec),Adjusted Discharge (cubic ft/sec),Organization Name,Comments,Latitude,Longitude
6/27/2012,09:00:00,CST,Surface Water,29.37,29.37,21145.10,21145.10,12.87,12.63,0.31,0.31,"","","","","","",GEOID99,12.00,12.00,"","","","","","","","","","","","","","","","","","","","",COASTAL ESTUARY SERVICES LLC,Adjusted water elevation to datum and water elevation to marsh deleted because site not surveyed.,29.86301463,-93.14296967
6/27/2012,10:00:00,CST,Surface Water,30.45,30.45,21485.70,21487.38,13.10,12.86,0.31,0.31,"","","","","","",GEOID99,12.00,12.00,"","","","","","","","","","","","","","","","","","","","",COASTAL ESTUARY SERVICES LLC,Adjusted water elevation to datum and water elevation to marsh deleted because site not surveyed.,29.86301463,-93.14296967
6/27/2012,11:00:00,CST,Surface Water,30.99,30.99,22681.40,22684.95,13.90,13.64,0.30,0.30,"","","","","","",GEOID99,12.00,12.00,"","","","","","","","","","","","","","","","","","","","",COASTAL ESTUARY SERVICES LLC,Adjusted water elevation to datum and water elevation to marsh deleted because site not surveyed.,29.86301463,-93.14296967
6/27/2012,12:00:00,CST,Surface Water,32.39,32.39,22878.70,22884.07,14.03,13.77,0.29,0.29,"","","","","","",GEOID99,12.00,12.00,"","","","","","","","","","","","","","","","","","","","",COASTAL ESTUARY SERVICES LLC,Adjusted water elevation to datum and water elevation to marsh deleted because site not surveyed.,29.86301463,-93.14296967
6/27/2012,13:00:00,CST,Surface Water,34.09,34.09,23281.10,23288.38,14.30,14.04,0.29,0.29,"","","","","","",GEOID99,12.00,12.00,"","","","","","","","","","","","","","","","","","","","",COASTAL ESTUARY SERVICES LLC,Adjusted water elevation to datum and water elevation to marsh deleted because site not surveyed.,29.86301463,-93.14296967
6/27/2012,14:00:00,CST,Surface Water,34.56,34.56,24559.50,24569.10,15.16,14.89,0.29,0.29,"","","","","","",GEOID99,12.00,12.00,"","","","","","","","","","","","","","","","","","","","",COASTAL ESTUARY SERVICES LLC,Adjusted water elevation to datum and water elevation to marsh deleted because site not surveyed.,29.86301463,-93.14296967
6/27/2012,15:00:00,CST,Surface Water,35.55,35.55,24744.30,24755.91,15.29,15.01,0.28,0.28,"","","","","","",GEOID99,12.00,12.00,"","","","","","","","","","","","","","","","","","","","",COASTAL ESTUARY SERVICES LLC,Adjusted water elevation to datum and water elevation to marsh deleted because site not surveyed.,29.86301463,-93.14296967
6/27/2012,16:00:00,CST,Surface Water,35.97,35.97,24384.90,24398.25,15.04,14.78,0.27,0.27,"","","","","","",GEOID99,12.00,12.00,"","","","","","","","","","","","","","","","","","","","",COASTAL ESTUARY SERVICES LLC,Adjusted water elevation to datum and water elevation to marsh deleted because site not surveyed.,29.86301463,-93.14296967
6/27/2012,17:00:00,CST,Surface Water,35.74,35.74,24907.80,24923.38,15.40,15.13,0.27,0.27,"","","","","","",GEOID99,12.00,12.00,"","","","","","","","","","","","","","","","","","","","",COASTAL ESTUARY SERVICES LLC,Adjusted water elevation to datum and water elevation to marsh deleted because site not surveyed.,29.86301463,-93.14296967
6/27/2012,18:00:00,CST,Surface Water,35.16,35.16,25095.70,25113.36,15.53,15.25,0.26,0.26,"","","","","","",GEOID99,12.00,12.00,"","","","","","","","","","","","","","","","","","","","",COASTAL ESTUARY SERVICES LLC,Adjusted water elevation to datum and water elevation to marsh deleted because site not surveyed.,29.86301463,-93.14296967
